project;vcsName;commitDate;commitHash;tickets;hasFixedTicket
RAMPART;git;2004-09-02;dc28b1714e992249b9a40dbb294e223d673934b6;[];false
RAMPART;git;2004-09-02;f98410a558df84157a4768eb9ad2beaaac443c48;[];false
RAMPART;git;2004-09-02;170302a2bc18949ec192c52a70e5fb3cc6a81085;[];false
RAMPART;git;2004-09-02;defcc3c65b7fef28b473165ee36787578b506ff7;[];false
RAMPART;git;2004-09-02;90a416dc371e824c3710a12e799c3d9179c17605;[];false
RAMPART;git;2004-09-02;cb3821387b4bfff867de3a7b022015a656e7365b;[];false
RAMPART;git;2004-09-02;8559d8db444b6ac2d111c86352a3359e65c7c4a7;[];false
RAMPART;git;2004-09-11;ee785a0ebbeb99988378be80b64bd412338506a1;[];false
RAMPART;git;2004-09-14;2282c0214a1d18747597a44d78b365b6d4747668;[];false
RAMPART;git;2004-09-15;3ff191a4793496fdda57e4031ed050a11e9e767d;[];false
RAMPART;git;2004-09-15;7414ceded588b4c8c7dfb020b40ae8dd52389bb8;[];false
RAMPART;git;2004-09-21;625ad5140706ac119a667fd34979395e6eec3893;[];false
RAMPART;git;2004-09-21;a6fc08be56b61418a96f48abb59a545c624d35fc;[];false
RAMPART;git;2004-09-21;834ea577eb4d6026b137f4a55f5246254bc747f7;[];false
RAMPART;git;2004-09-21;1f4d3877a968d8bb23e9628ca872366fdbca74b0;[];false
RAMPART;git;2004-09-23;ed5c9dd2e68b1a0003465c89fa9cffaf1598f189;[];false
RAMPART;git;2004-09-23;0640071fdbba5eb7ab3b4e963decdfc5444e27b3;[];false
RAMPART;git;2004-09-23;de51d0eb202ead3d330f811907241f99dc029777;[];false
RAMPART;git;2004-09-23;e6e086e80ddefa2754b9b7cdf9aeb51f3a0a6fed;[];false
RAMPART;git;2004-09-24;f53b3afa5aa5276525d0dab64c63f7f9a53bc95d;[];false
RAMPART;git;2004-09-24;e0e7a1648b47c3a5e892094327a86fc03e321fda;[];false
RAMPART;git;2004-09-24;9a88b3793c6c8229c3909642e813ada169a3b6be;[];false
RAMPART;git;2004-09-24;1cb048f5e50e8500365deaf750bace5a5d5962b0;[];false
RAMPART;git;2004-09-26;447cdbc34a9b5fcb03b1d5a861045619dc377603;[];false
RAMPART;git;2004-09-27;b6862aef813447d44b09653635b6724a050cd24a;[];false
RAMPART;git;2004-09-29;36155b39b93fca16ed2d8f5eebe47d57959f7dc6;[];false
RAMPART;git;2004-09-29;78e988c638f1ba1676aa28d1ab35859d2daebb66;[];false
RAMPART;git;2004-10-05;af7081154bcf5df1fc6e67327552665b02576df7;[];false
RAMPART;git;2004-10-06;dc24308c2d0cb4f82881602e070ed0aa42ac55bb;[];false
RAMPART;git;2004-10-06;2a9de2eddaba2c2892bdb3ee57154389dae5e1ac;[];false
RAMPART;git;2004-10-07;f0460d152c355efa136ab7657b363b48c86a5df9;[];false
RAMPART;git;2004-10-11;01c499deecc4a6db234b032a998f71de48086b7e;[];false
RAMPART;git;2004-10-11;667d5a8e1cdd3b2f2fd50d537da872aafdeb29b5;[];false
RAMPART;git;2004-10-13;d397c98f00369f6ff18d6d1eeb2147f007a35a21;[];false
RAMPART;git;2004-10-13;14375b404620e6187cd116d54d49eb891ad2959b;[];false
RAMPART;git;2004-10-13;42b21545ae20e3fff9e5068298f6f4340c1705e3;[];false
RAMPART;git;2004-10-13;a0ff2fda73617da18241e10149fc4a727697ecc6;[];false
RAMPART;git;2004-10-14;2d46986ed25c09c993bb8d01dd8c6a7210f1ddc5;[];false
RAMPART;git;2004-10-15;a5e31552295733789d299ad42a2c1ab8a019c2d8;[];false
RAMPART;git;2004-10-15;3d8d0fd272356fe195d3c523928a9ea3c0ebb4bb;[];false
RAMPART;git;2004-10-16;9bd4f8f66d51097bcdae4e8dec06250b59a592dc;[];false
RAMPART;git;2004-10-18;27c66f6651fa677cda2ed4c3b6e9b14db3983f5b;[];false
RAMPART;git;2004-10-20;afa17a430db01450263cfafc1118a9f472b32675;[];false
RAMPART;git;2004-10-20;1f9b36572ce7fc918ca533cf9e0ccd9dc0bb794b;[];false
RAMPART;git;2004-10-20;731b044d115075f6891266672e15497e36d63d36;[];false
RAMPART;git;2004-10-20;cc0ccdb8c6d5c4ccefe7ec6d24a458d78627d731;[];false
RAMPART;git;2004-10-21;43f709105c42c05d915d4bf257c608dbc2b1bab3;[];false
RAMPART;git;2004-10-29;11cafa51fa867793bd9718fabec77959bf75ee75;[];false
RAMPART;git;2004-10-29;5be0305346c06befe9cb504805cec9bdc3ae902a;[];false
RAMPART;git;2004-11-02;2497fe2eaee82eeb197665c9a6b6cb595af0bb88;[];false
RAMPART;git;2004-11-05;ad6dd20850a265fee60d131717a3689f469611aa;[];false
RAMPART;git;2004-11-05;6879dda66e4c19803443dfe9d876f24ab71aef66;[];false
RAMPART;git;2004-11-08;bb15831b2c3e26f465021cff06989d8c44387820;[];false
RAMPART;git;2004-11-09;b450d384a3b15c64afa0afe780d47cd4ab480a34;[];false
RAMPART;git;2004-11-11;0f8e8383490a8b56b683c60c6bcf7f21bbedf372;[];false
RAMPART;git;2004-11-15;99320a7f511bdb417534d7681e83514162500fc0;[];false
RAMPART;git;2004-11-15;b9bb5461ee41e9eb05e2abbfce3c001aa7b14c1e;[];false
RAMPART;git;2004-11-15;420a8df10bbc89e3b60bfe6b4150e786dead9584;[];false
RAMPART;git;2004-11-15;6df1d858b26775f2dd8fd05b2280825752464961;[];false
RAMPART;git;2004-11-15;777ca3803047b1fa177aed493f1c4020fca576fb;[];false
RAMPART;git;2004-11-15;2fc9e92c0b416f6eb21f0f8a4712286a1a6abe5b;[];false
RAMPART;git;2004-11-17;1a74654ca75a9c99a8893bc30642479ecddd3a93;[];false
RAMPART;git;2004-11-17;fe6e073c0569533944c2b3af59fbdc0f4a7a69d7;[];false
RAMPART;git;2004-11-18;5c5f4699553444a833b6073332ec1cbe0bfa56f1;[];false
RAMPART;git;2004-11-18;f680f6eddb4ad12f11241f39c8dc8d978fc4c4ca;[];false
RAMPART;git;2004-11-18;d73b76495a7916a79cf47d3dd1538ba3335298f5;[];false
RAMPART;git;2004-11-18;83856026ca95e54d6e3d2cf2813c7ee1bdc2bb09;[];false
RAMPART;git;2004-11-18;852838a069bf9c009bc28b2d2a5fab83ae5c9c86;[];false
RAMPART;git;2004-11-18;ca1681cf88745062f6f8dc2fda6b3a41f686f354;[];false
RAMPART;git;2004-11-19;3ae1fda900fc51c0e7da56869f72e0bbd57f5664;[];false
RAMPART;git;2004-11-19;d66fdf9b0196dfa975e9c7f45c36065e53140ee0;[];false
RAMPART;git;2004-11-19;49a79c6b2d82f000fc47287b2163b65f7b75c1b9;[];false
