Index,Version ID,Version Name,Date
1,12312302,1.1,2006-12-11T00:00
2,12312303,1.2,2007-06-02T00:00
3,12312509,1.3,2007-09-06T00:00
4,12313141,1.4,2008-06-12T00:00
5,12314038,1.5,2010-02-01T00:00
6,12316016,1.5.1,2011-01-10T00:00
7,12316037,1.6.0,2011-06-06T00:00
8,12316528,1.6.1,2011-09-24T00:00
9,12318250,1.6.2,2012-04-26T00:00
10,12320773,1.6.3,2015-12-12T00:00
11,12334369,1.6.4,2015-12-28T00:00
12,12316529,1.7.0,2016-01-18T00:00
13,12334724,1.7.1,2017-07-30T00:00
